
 Profile 2

 Sensors were turned on at  10/17/2015 03:36:16
 Vehicle began profiling at 10/17/2015 03:38:16

Date,[mA],[V],[dbar],Par[mV],scatSig,chlSig,CDOMSig
10/17/2015 04:01:45,209,11.0,396.510,0.00,134,55,73
10/17/2015 04:01:50,287,11.0,397.800,0.00,163,54,73
10/17/2015 04:01:55,144,11.0,399.110,0.00,132,53,73
10/17/2015 04:02:00,350,11.0,400.410,0.00,159,53,74
10/17/2015 04:02:05,279,11.0,401.700,0.00,129,54,71
10/17/2015 04:02:10,236,11.0,403.000,0.00,137,53,73
10/17/2015 04:02:15,268,11.0,404.290,0.00,135,53,72
10/17/2015 04:02:20,209,11.0,405.590,0.00,143,53,72
10/17/2015 04:02:25,354,11.0,406.890,0.00,137,55,73
10/17/2015 04:02:30,225,11.0,408.170,0.00,136,55,72
10/17/2015 04:02:35,264,11.0,409.490,0.00,137,53,73
10/17/2015 04:02:40,334,11.0,410.790,0.00,149,56,74
10/17/2015 04:02:45,194,11.0,412.090,0.00,324,57,75
10/17/2015 04:02:50,264,11.0,413.400,0.00,132,53,73
10/17/2015 04:02:55,232,11.0,414.700,0.00,137,53,72
10/17/2015 04:03:00,201,11.0,416.000,0.00,133,52,74
10/17/2015 04:03:05,301,11.0,417.320,0.00,134,53,69
10/17/2015 04:03:10,259,11.0,418.610,0.00,163,54,73
10/17/2015 04:03:15,260,11.0,419.920,0.00,170,54,72
10/17/2015 04:03:20,215,11.0,421.210,0.00,169,55,73
10/17/2015 04:03:25,295,11.0,422.520,0.00,137,54,74
10/17/2015 04:03:30,246,11.0,423.820,0.00,146,54,73
10/17/2015 04:03:35,254,11.0,425.140,0.00,128,54,73
10/17/2015 04:03:40,241,11.0,426.430,0.00,232,53,74
10/17/2015 04:03:45,225,11.0,427.740,0.00,138,54,73
10/17/2015 04:03:50,336,11.0,429.040,0.00,146,55,72
10/17/2015 04:03:55,229,11.0,430.340,0.00,161,55,73
10/17/2015 04:04:00,136,11.0,431.650,0.00,275,52,75
10/17/2015 04:04:05,372,11.0,432.950,0.00,143,53,73
10/17/2015 04:04:10,154,11.0,434.250,0.00,185,53,77
10/17/2015 04:04:15,287,11.0,435.550,0.00,133,55,74
10/17/2015 04:04:20,229,11.0,436.850,0.00,127,54,73
10/17/2015 04:04:25,335,11.0,438.150,0.00,144,53,76
10/17/2015 04:04:30,143,11.0,439.460,0.00,161,54,74
10/17/2015 04:04:35,322,11.0,440.760,0.00,157,55,73
10/17/2015 04:04:40,220,11.0,442.070,0.00,190,53,72
10/17/2015 04:04:45,397,11.0,443.370,0.00,132,55,74
10/17/2015 04:04:50,136,11.0,444.670,0.00,136,54,72
10/17/2015 04:04:55,297,11.0,445.960,0.00,143,54,73
10/17/2015 04:05:00,246,11.0,447.270,0.00,148,54,72
10/17/2015 04:05:05,295,11.0,448.560,0.00,145,53,72
10/17/2015 04:05:10,207,11.0,449.850,0.00,140,53,72
10/17/2015 04:05:15,303,11.0,451.150,0.00,128,53,77
10/17/2015 04:05:20,220,11.0,452.450,0.00,129,54,74
10/17/2015 04:05:25,325,11.0,453.740,0.00,131,53,73
10/17/2015 04:05:30,213,11.0,455.040,0.00,138,53,72
10/17/2015 04:05:35,296,11.0,456.350,0.00,132,55,72
10/17/2015 04:05:40,231,11.0,457.630,0.00,136,53,75
10/17/2015 04:05:45,263,11.0,458.930,0.00,134,53,74
10/17/2015 04:05:50,266,11.0,460.220,0.00,137,53,74
10/17/2015 04:05:55,266,11.0,461.500,0.00,211,53,75
10/17/2015 04:06:00,286,11.0,462.790,0.00,335,55,75
10/17/2015 04:06:05,278,11.0,464.080,0.00,137,54,75
10/17/2015 04:06:10,281,11.0,465.380,0.00,139,55,74
10/17/2015 04:06:15,208,11.0,466.680,0.00,372,55,74
10/17/2015 04:06:20,285,11.0,467.990,0.00,141,55,73
10/17/2015 04:06:25,221,11.0,469.290,0.00,133,53,74
10/17/2015 04:06:30,261,11.0,470.590,0.00,135,53,76
10/17/2015 04:06:35,247,11.0,471.890,0.00,130,56,75
