Sample rate: 2.0000 Hz


 Profile 2

   MM-DD-YYYY HH:MM:SS     HDNG       TX       TY        HX        HY        HZ      VPAB      VPCD      VPEF      VPGH
   06-11-2018 00:35:42   279.58     1.75     0.32    0.0188   -0.2899   -0.9569      9.42      5.90      7.60    -17.11
   06-11-2018 00:36:07   282.52     1.59     1.14    0.0336   -0.2897   -0.9565      9.25      5.48      8.58    -18.25
   06-11-2018 00:36:32   285.00     1.75     0.97    0.0431   -0.2863   -0.9572     10.50      5.27      7.61    -18.21
   06-11-2018 00:36:57   288.39     1.43     1.30    0.0648   -0.2884   -0.9553     10.50      4.30      9.43    -19.94
   06-11-2018 00:37:22   286.93     1.75     0.97    0.0534   -0.2877   -0.9562     10.69      5.50      7.56    -17.96
   06-11-2018 00:37:47   301.21     1.10     1.30    0.1272   -0.2620   -0.9566      8.56      4.55     10.28    -16.56
   06-11-2018 00:38:12   296.26     1.43     1.95    0.0964   -0.2763   -0.9562     12.84      4.20      7.05    -19.89
   06-11-2018 00:38:37   296.07     1.43     1.62    0.0996   -0.2795   -0.9550      8.04      3.50     10.93    -15.77
   06-11-2018 00:39:02   298.84     1.26     1.30    0.1147   -0.2683   -0.9565     10.47      4.33      8.63    -18.70
   06-11-2018 00:39:27   301.45     1.43     1.62    0.1238   -0.2685   -0.9553      9.97      5.53      7.77    -16.14
   06-11-2018 00:39:52   295.47     1.75     1.30    0.0925   -0.2772   -0.9563     10.63      5.67      6.14    -18.20
   06-11-2018 00:40:17   298.31     1.43     0.65    0.1165   -0.2711   -0.9555      5.98      5.47     10.10    -15.68
   06-11-2018 00:40:42   298.06     1.43     1.14    0.1115   -0.2729   -0.9556     11.00      5.83      5.31    -17.91
   06-11-2018 00:41:07   289.30     1.75     0.97    0.0658   -0.2876   -0.9555     10.11      5.59      8.59    -19.56
   06-11-2018 00:41:32   296.62     1.43     1.62    0.1005   -0.2753   -0.9561      9.84      5.28      8.52    -16.38
   06-11-2018 00:41:57   287.80     1.75     0.32    0.0612   -0.2869   -0.9560      7.36      4.92     11.87    -17.82
   06-11-2018 00:42:22   292.69     1.43     1.62    0.0807   -0.2774   -0.9574     11.83      5.25      6.18    -18.96
   06-11-2018 00:42:47   291.38     1.75     1.95    0.0692   -0.2842   -0.9563      9.48      5.99      8.27    -17.10
   06-11-2018 00:43:12   287.28     2.07     1.30    0.0478   -0.2868   -0.9568     11.47      6.83      4.16    -18.72
   06-11-2018 00:43:37   288.01     1.75     0.97    0.0570   -0.2816   -0.9578      8.32      6.89      6.68    -16.16
   06-11-2018 00:44:02   290.45     1.43     0.97    0.0737   -0.2778   -0.9578      7.32      7.71      5.17    -14.49
