
 Profile 1

 Sensors were turned on at  10/17/2015 03:00:02
 Vehicle began profiling at 10/17/2015 03:02:01

Date,[mA],[V],[dbar],Par[mV],scatSig,chlSig,CDOMSig
10/17/2015 03:14:10,76,11.2,291.620,0.00,199,52,72
10/17/2015 03:14:15,59,11.2,290.190,0.00,125,53,71
10/17/2015 03:14:20,232,11.1,288.760,0.00,125,53,72
10/17/2015 03:14:25,1,11.3,287.320,0.00,124,54,69
10/17/2015 03:14:30,263,11.1,285.890,0.00,122,55,74
10/17/2015 03:14:35,68,11.2,284.500,0.00,123,53,73
10/17/2015 03:14:40,141,11.1,283.050,0.00,126,52,70
10/17/2015 03:14:45,45,11.3,281.600,0.00,117,53,72
10/17/2015 03:14:50,90,11.2,280.170,0.00,121,53,72
10/17/2015 03:14:55,268,11.1,278.760,0.00,122,53,69
10/17/2015 03:15:00,96,11.2,277.320,0.00,137,53,72
10/17/2015 03:15:05,129,11.2,275.930,0.00,121,53,72
10/17/2015 03:15:10,135,11.2,274.490,0.00,119,54,72
10/17/2015 03:15:15,168,11.2,273.090,0.00,121,54,72
10/17/2015 03:15:20,117,11.2,271.680,0.00,124,54,69
10/17/2015 03:15:25,173,11.2,270.260,0.00,123,53,72
10/17/2015 03:15:30,136,11.2,268.850,0.00,125,53,72
10/17/2015 03:15:35,70,11.2,267.450,0.00,117,52,72
10/17/2015 03:15:40,26,11.2,266.020,0.00,117,55,72
10/17/2015 03:15:45,135,11.2,264.620,0.00,117,55,72
10/17/2015 03:15:50,178,11.1,263.220,0.00,117,54,68
10/17/2015 03:15:55,78,11.2,261.790,0.00,116,56,72
10/17/2015 03:16:00,114,11.2,260.360,0.00,110,55,71
10/17/2015 03:16:05,127,11.2,258.940,0.00,117,54,72
10/17/2015 03:16:10,5,11.2,257.520,0.00,116,55,72
10/17/2015 03:16:15,271,11.1,256.100,0.00,113,53,74
10/17/2015 03:16:20,2,11.2,254.660,0.00,109,52,71
10/17/2015 03:16:25,204,11.1,253.270,0.00,111,52,69
10/17/2015 03:16:30,183,11.1,251.880,0.00,117,54,71
10/17/2015 03:16:35,14,11.2,250.470,0.00,115,53,71
10/17/2015 03:16:40,157,11.2,249.080,0.00,110,53,70
10/17/2015 03:16:45,0,11.2,247.650,0.00,113,53,72
10/17/2015 03:16:50,289,11.0,246.140,0.00,113,55,72
10/17/2015 03:16:55,0,11.2,244.680,0.00,123,53,72
10/17/2015 03:17:00,486,11.0,243.190,0.00,119,51,71
10/17/2015 03:17:05,0,11.2,241.800,0.00,122,54,71
10/17/2015 03:17:10,432,11.1,240.370,0.00,124,53,71
10/17/2015 03:17:15,1,11.2,238.950,0.00,129,52,72
10/17/2015 03:17:20,239,11.1,237.480,0.00,129,53,70
10/17/2015 03:17:25,36,11.2,236.080,0.00,123,54,74
10/17/2015 03:17:30,32,11.2,234.680,0.00,131,52,71
10/17/2015 03:17:35,252,11.1,233.270,0.00,125,51,71
10/17/2015 03:17:40,195,11.1,231.860,0.00,123,55,71
10/17/2015 03:17:45,1,11.2,230.450,0.00,136,53,70
10/17/2015 03:17:50,340,11.1,229.050,0.00,127,53,71
10/17/2015 03:17:55,0,11.2,227.600,0.00,129,52,70
