

 Profile 2

MM-DD-YYYY HH:MM:SS,TmpC,Heading,Pitch,Roll,Beams,Beam1,Beam2,Beam3,Beam4,Vel1,Vel2,Vel3,Amp1,Amp2,Amp3
10-17-2015 03:37:28,12.3400,260.4000,1.2000,-0.8000,3,2,3,4,0,-0.13620,-0.11760,-0.25170,135,124,115
10-17-2015 03:37:29,12.3300,259.4000,1.0000,0.0000,3,2,3,4,0,-0.14890,-0.12150,-0.27800,108,123,118
10-17-2015 03:37:29,12.3300,259.4000,1.0000,0.0000,3,2,3,4,0,-0.12800,-0.09020,-0.23660,115,115,112
10-17-2015 03:37:30,12.3300,267.5000,-0.2000,-1.1000,3,2,3,4,0,-0.08050,-0.12480,-0.22660,109,123,113
10-17-2015 03:37:30,12.3300,267.5000,-0.2000,-1.1000,3,2,3,4,0,-0.09330,-0.12150,-0.19680,122,117,116
10-17-2015 03:37:31,12.3200,285.3000,1.7000,-0.1000,3,2,3,4,0,-0.14400,-0.09980,-0.21930,115,109,105
10-17-2015 03:37:31,12.3200,285.3000,1.7000,-0.1000,3,2,3,4,0,-0.17720,-0.11570,-0.27380,108,115,121
10-17-2015 03:37:32,12.3200,302.2000,1.1000,0.6000,3,2,3,4,0,-0.18300,-0.10230,-0.22140,123,119,116
10-17-2015 03:37:32,12.3200,302.2000,1.1000,0.6000,3,2,3,4,0,-0.20800,-0.07530,-0.19550,125,108,112
10-17-2015 03:37:33,12.3200,311.3000,0.8000,-0.9000,3,2,3,4,0,-0.22690,-0.09430,-0.19050,111,110,126
10-17-2015 03:37:33,12.3200,311.3000,0.8000,-0.9000,3,2,3,4,0,-0.20550,-0.11860,-0.20290,120,120,106
10-17-2015 03:37:34,12.3200,326.9000,0.4000,1.8000,3,2,3,4,0,-0.20870,-0.09700,-0.12610,116,113,112
10-17-2015 03:37:34,12.3200,326.9000,0.4000,1.8000,3,2,3,4,0,-0.22750,-0.08450,-0.12150,118,113,111
10-17-2015 03:37:35,12.3300,317.7000,0.2000,2.3000,3,2,3,4,0,-0.23470,-0.07710,-0.09690,117,114,108
10-17-2015 03:37:35,12.3300,317.7000,0.2000,2.3000,3,2,3,4,0,-0.26030,-0.07120,-0.11790,132,111,142
