

 Profile 2

MM-DD-YYYY HH:MM:SS,Sndm/s,TmpC,Heading,Pitch,Roll,magnHx,magnHy,magnHz,Beams,Cells,Beam1,Beam2,Beam3,Beam4,Beam5,Vel1,Vel2,Vel3,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3
10-17-2015 03:36:54.875,1500.0000,12.4100,276.2000,-0.8000,0.4000,16505,-203,-73,3,1,2,3,4,0,0,-0.06820,-0.14860,-0.20830,125,117,126,099,086,094
10-17-2015 03:36:55.375,1500.0000,12.4200,310.3000,0.5000,2.3000,16543,-761,323,3,1,2,3,4,0,0,-0.14510,-0.11620,-0.15730,102,109,114,085,083,097
10-17-2015 03:36:55.875,1500.0000,12.4200,310.3000,0.5000,2.3000,16543,-761,323,3,1,2,3,4,0,0,-0.15340,-0.14060,-0.20310,113,117,141,092,094,099
10-17-2015 03:36:56.375,1500.0000,12.4100,313.1000,1.8000,-0.7000,16555,153,696,3,1,2,3,4,0,0,-0.12830,-0.08100,-0.22570,111,109,124,094,091,090
10-17-2015 03:36:56.875,1500.0000,12.4100,313.1000,1.8000,-0.7000,16555,153,696,3,1,2,3,4,0,0,-0.20000,-0.04350,-0.16970,107,107,126,080,094,099
10-17-2015 03:36:57.375,1500.0000,12.4200,325.8000,0.7000,-0.6000,16364,105,362,3,1,2,3,4,0,0,-0.19040,-0.03420,-0.19300,125,114,123,097,074,099
10-17-2015 03:36:57.875,1500.0000,12.4200,325.8000,0.7000,-0.6000,16364,105,362,3,1,2,3,4,0,0,-0.15350,-0.07470,-0.12870,116,135,114,096,099,095
10-17-2015 03:36:58.375,1500.0000,12.4200,332.9000,0.2000,2.1000,16493,-686,222,3,1,2,3,4,0,0,-0.24580,-0.06340,-0.02050,112,117,115,094,090,089
10-17-2015 03:36:58.875,1500.0000,12.4200,332.9000,0.2000,2.1000,16493,-686,222,3,1,2,3,4,0,0,-0.19040,-0.05010,-0.10010,115,117,116,096,096,099
10-17-2015 03:36:59.375,1500.0000,12.4300,312.2000,1.4000,2.0000,16633,-666,593,3,1,2,3,4,0,0,-0.16700,-0.02600,-0.12270,120,128,110,092,099,094
10-17-2015 03:36:59.875,1500.0000,12.4300,312.2000,1.4000,2.0000,16633,-666,593,3,1,2,3,4,0,0,-0.21590,-0.03560,-0.14950,122,114,117,098,090,090
10-17-2015 03:37:00.375,1500.0000,12.4300,294.2000,0.9000,0.0000,16475,-80,448,3,1,2,3,4,0,0,-0.24780,-0.05570,-0.20020,118,114,116,079,081,086
10-17-2015 03:37:00.875,1500.0000,12.4300,294.2000,0.9000,0.0000,16475,-80,448,3,1,2,3,4,0,0,-0.26970,-0.11500,-0.22270,115,123,108,083,095,087
10-17-2015 03:37:01.375,1500.0000,12.4300,274.0000,0.8000,-3.0000,16501,796,406,3,1,2,3,4,0,0,-0.26270,-0.16010,-0.29210,113,114,125,077,087,090
10-17-2015 03:37:01.875,1500.0000,12.4300,274.0000,0.8000,-3.0000,16501,796,406,3,1,2,3,4,0,0,-0.25320,-0.22710,-0.31470,142,122,111,099,097,085
10-17-2015 03:37:02.375,1500.0000,12.4400,266.3000,0.6000,-1.6000,16507,390,337,3,1,2,3,4,0,0,-0.22590,-0.21480,-0.29630,112,108,115,083,087,095
10-17-2015 03:37:02.875,1500.0000,12.4400,266.3000,0.6000,-1.6000,16507,390,337,3,1,2,3,4,0,0,-0.20410,-0.16080,-0.30520,115,117,131,083,090,099
10-17-2015 03:37:03.375,1500.0000,12.4400,269.5000,-0.3000,-1.5000,16527,374,64,3,1,2,3,4,0,0,-0.17250,-0.08660,-0.26180,124,109,125,094,085,097
10-17-2015 03:37:03.875,1500.0000,12.4400,269.5000,-0.3000,-1.5000,16527,374,64,3,1,2,3,4,0,0,-0.13590,-0.13030,-0.21410,133,114,131,097,093,093
10-17-2015 03:37:04.375,1500.0000,12.4500,284.0000,0.8000,-0.5000,16527,69,406,3,1,2,3,4,0,0,0.14290,-0.15070,-0.20810,126,122,120,097,099,097
10-17-2015 03:37:04.875,1500.0000,12.4500,284.0000,0.8000,-0.5000,16527,69,406,3,1,2,3,4,0,0,-0.17790,-0.13020,-0.21620,114,112,114,094,091,081
10-17-2015 03:37:05.375,1500.0000,12.4400,295.0000,1.0000,0.2000,16559,-141,460,3,1,2,3,4,0,0,-0.17440,-0.18540,-0.19400,111,134,115,085,097,096
10-17-2015 03:37:05.875,1500.0000,12.4400,295.0000,1.0000,0.2000,16559,-141,460,3,1,2,3,4,0,0,-0.25120,-0.19830,-0.19930,124,132,115,096,096,098
10-17-2015 03:37:06.375,1500.0000,12.4300,297.2000,0.8000,-0.8000,16673,184,410,3,1,2,3,4,0,0,-0.22280,-0.16200,-0.21540,125,117,113,095,095,093
10-17-2015 03:37:06.875,1500.0000,12.4300,297.2000,0.8000,-0.8000,16673,184,410,3,1,2,3,4,0,0,-0.23030,-0.09640,-0.21800,125,108,133,097,090,099
10-17-2015 03:37:07.375,1500.0000,12.4200,307.1000,0.5000,0.8000,16467,-318,306,3,1,2,3,4,0,0,-0.22180,-0.13970,-0.19670,114,114,113,097,088,083
10-17-2015 03:37:07.875,1500.0000,12.4200,307.1000,0.5000,0.8000,16467,-318,306,3,1,2,3,4,0,0,-0.22800,-0.11430,-0.16810,106,110,118,093,088,098
10-17-2015 03:37:08.375,1500.0000,12.4200,302.0000,1.3000,-1.0000,16569,226,539,3,1,2,3,4,0,0,-0.23960,-0.16990,-0.22830,108,109,143,095,087,099
10-17-2015 03:37:08.875,1500.0000,12.4200,302.0000,1.3000,-1.0000,16569,226,539,3,1,2,3,4,0,0,-0.20720,-0.14800,-0.21420,111,112,135,094,087,099
10-17-2015 03:37:09.375,1500.0000,12.4100,305.1000,1.1000,1.2000,16557,-425,506,3,1,2,3,4,0,0,-0.23090,-0.09750,-0.21300,112,113,124,096,092,098
10-17-2015 03:37:09.875,1500.0000,12.4100,305.1000,1.1000,1.2000,16557,-425,506,3,1,2,3,4,0,0,-0.19940,-0.09350,-0.20840,117,115,119,098,093,088
10-17-2015 03:37:10.375,1500.0000,12.4000,300.8000,0.3000,0.6000,16497,-250,262,3,1,2,3,4,0,0,-0.20570,-0.14930,-0.20350,123,119,110,096,095,093
10-17-2015 03:37:10.875,1500.0000,12.4000,300.8000,0.3000,0.6000,16497,-250,262,3,1,2,3,4,0,0,-0.24410,-0.16950,-0.17890,120,125,126,086,097,095
10-17-2015 03:37:11.375,1500.0000,12.4000,287.3000,1.0000,-0.6000,16535,103,452,3,1,2,3,4,0,0,-0.24480,-0.12120,-0.21520,105,113,120,087,088,096
10-17-2015 03:37:11.875,1500.0000,12.4000,287.3000,1.0000,-0.6000,16535,103,452,3,1,2,3,4,0,0,-0.22440,-0.15660,-0.28470,108,127,134,096,099,095
10-17-2015 03:37:12.375,1500.0000,12.4000,281.4000,1.5000,-0.2000,16535,8,598,3,1,2,3,4,0,0,-0.24720,-0.16310,-0.28700,117,143,115,099,097,097
10-17-2015 03:37:12.875,1500.0000,12.4000,281.4000,1.5000,-0.2000,16535,8,598,3,1,2,3,4,0,0,-0.23110,-0.13600,-0.30110,116,115,109,098,091,097
10-17-2015 03:37:13.375,1500.0000,12.4000,277.8000,-0.2000,-0.1000,16471,-17,102,3,1,2,3,4,0,0,-0.19940,-0.10580,-0.24350,110,110,121,090,084,098
10-17-2015 03:37:13.875,1500.0000,12.4000,277.8000,-0.2000,-0.1000,16471,-17,102,3,1,2,3,4,0,0,-0.11110,-0.15540,-0.25190,110,131,108,080,100,082
10-17-2015 03:37:14.375,1500.0000,12.4000,278.5000,0.9000,-0.8000,16565,160,435,3,1,2,3,4,0,0,-0.19870,-0.14560,-0.24280,123,129,102,098,099,080
10-17-2015 03:37:14.875,1500.0000,12.4000,278.5000,0.9000,-0.8000,16565,160,435,3,1,2,3,4,0,0,-0.13370,-0.08880,-0.23220,115,117,116,092,097,076
10-17-2015 03:37:15.375,1500.0000,12.3900,290.1000,0.5000,0.8000,16447,-316,306,3,1,2,3,4,0,0,-0.10950,-0.07340,-0.15780,121,114,117,098,095,090
10-17-2015 03:37:15.875,1500.0000,12.3900,290.1000,0.5000,0.8000,16447,-316,306,3,1,2,3,4,0,0,-0.19460,-0.08390,-0.14620,105,117,112,079,095,096
10-17-2015 03:37:16.375,1500.0000,12.3800,287.5000,1.2000,-1.4000,16545,343,527,3,1,2,3,4,0,0,-0.19420,-0.09390,-0.21380,108,115,125,089,097,098
10-17-2015 03:37:16.875,1500.0000,12.3800,287.5000,1.2000,-1.4000,16545,343,527,3,1,2,3,4,0,0,-0.26430,-0.09770,-0.23390,112,112,120,081,093,096
10-17-2015 03:37:17.375,1500.0000,12.3800,287.3000,1.0000,-0.2000,16489,10,471,3,1,2,3,4,0,0,-0.26370,-0.12140,-0.25860,116,117,113,091,067,097
10-17-2015 03:37:17.875,1500.0000,12.3800,287.3000,1.0000,-0.2000,16489,10,471,3,1,2,3,4,0,0,-0.22810,-0.11640,-0.24720,115,111,116,098,082,085
10-17-2015 03:37:18.375,1500.0000,12.3800,287.1000,0.3000,2.7000,16481,-866,256,3,1,2,3,4,0,0,-0.23660,-0.17990,-0.22580,111,121,106,098,097,091
10-17-2015 03:37:18.875,1500.0000,12.3800,287.1000,0.3000,2.7000,16481,-866,256,3,1,2,3,4,0,0,-0.22310,-0.18600,-0.24640,115,110,109,092,083,097
10-17-2015 03:37:19.375,1500.0000,12.3700,274.8000,0.5000,-0.3000,16551,14,325,3,1,2,3,4,0,0,-0.16520,-0.11450,-0.23610,115,115,117,091,085,089
10-17-2015 03:37:19.875,1500.0000,12.3700,274.8000,0.5000,-0.3000,16551,14,325,3,1,2,3,4,0,0,-0.16950,-0.09420,-0.23360,109,111,113,095,090,082
10-17-2015 03:37:20.375,1500.0000,12.3700,274.7000,0.9000,-0.9000,16517,208,448,3,1,2,3,4,0,0,-0.16170,-0.11630,-0.23120,109,115,106,084,096,078
10-17-2015 03:37:20.875,1500.0000,12.3700,274.7000,0.9000,-0.9000,16517,208,448,3,1,2,3,4,0,0,-0.12920,-0.12330,-0.22370,116,134,113,093,100,081
10-17-2015 03:37:21.375,1500.0000,12.3700,277.8000,0.8000,-0.1000,16463,-27,416,3,1,2,3,4,0,0,-0.13920,-0.13050,-0.21930,123,122,127,097,097,098
10-17-2015 03:37:21.875,1500.0000,12.3700,277.8000,0.8000,-0.1000,16463,-27,416,3,1,2,3,4,0,0,-0.16030,-0.10750,-0.23340,114,115,106,094,093,076
10-17-2015 03:37:22.375,1500.0000,12.3600,280.3000,1.0000,-0.5000,16539,81,460,3,1,2,3,4,0,0,-0.15770,-0.08940,-0.21400,115,113,107,088,092,081
10-17-2015 03:37:22.875,1500.0000,12.3600,280.3000,1.0000,-0.5000,16539,81,460,3,1,2,3,4,0,0,-0.13630,-0.07680,-0.21070,110,114,114,091,094,098
10-17-2015 03:37:23.375,1500.0000,12.3600,288.7000,1.0000,-0.2000,16499,4,473,3,1,2,3,4,0,0,-0.15330,-0.08580,-0.21740,122,115,107,096,096,095
10-17-2015 03:37:23.875,1500.0000,12.3600,288.7000,1.0000,-0.2000,16499,4,473,3,1,2,3,4,0,0,-0.15190,-0.03710,-0.20520,108,105,107,095,089,096
10-17-2015 03:37:24.375,1500.0000,12.3500,297.9000,0.8000,1.6000,16551,-537,420,3,1,2,3,4,0,0,-0.16240,-0.08030,-0.18630,109,109,120,091,093,099
10-17-2015 03:37:24.875,1500.0000,12.3500,297.9000,0.8000,1.6000,16551,-537,420,3,1,2,3,4,0,0,-0.22600,-0.09910,-0.23220,103,110,121,087,091,096
10-17-2015 03:37:25.375,1500.0000,12.3400,289.3000,1.3000,-0.2000,16551,4,554,3,1,2,3,4,0,0,-0.22550,-0.12320,-0.27450,111,128,108,080,099,082
10-17-2015 03:37:25.875,1500.0000,12.3400,289.3000,1.3000,-0.2000,16551,4,554,3,1,2,3,4,0,0,-0.24280,-0.11100,-0.24690,117,115,116,097,093,083
10-17-2015 03:37:26.375,1500.0000,12.3400,280.0000,0.5000,-0.9000,16497,192,314,3,1,2,3,4,0,0,-0.21870,-0.11070,-0.23440,109,114,116,086,096,096
10-17-2015 03:37:26.875,1500.0000,12.3400,280.0000,0.5000,-0.9000,16497,192,314,3,1,2,3,4,0,0,-0.14560,-0.10100,-0.18850,128,117,116,095,097,097
10-17-2015 03:37:27.375,1500.0000,12.3400,269.7000,0.4000,-0.2000,16489,2,283,3,1,2,3,4,0,0,-0.14170,-0.10180,-0.19540,120,113,118,098,095,097
10-17-2015 03:37:27.875,1500.0000,12.3400,269.7000,0.4000,-0.2000,16489,2,283,3,1,2,3,4,0,0,-0.13870,-0.12230,-0.22590,125,118,111,097,096,083
10-17-2015 03:37:28.375,1500.0000,12.3400,260.4000,1.2000,-0.8000,16583,172,516,3,1,2,3,4,0,0,-0.17160,-0.04160,-0.22900,119,123,122,092,097,095
10-17-2015 03:37:28.875,1500.0000,12.3400,260.4000,1.2000,-0.8000,16583,172,516,3,1,2,3,4,0,0,-0.13620,-0.11760,-0.25170,135,124,115,100,099,089
